prompt,corrupted_prompt,answer
Solve the following and respond with only the final answer: What is 99 plus 38?,Solve the following and respond with only the final answer: What is 99 plus 99?,137
Solve the following and respond with only the final answer: What is 77 plus 41?,Solve the following and respond with only the final answer: What is 77 plus 72?,118
Solve the following and respond with only the final answer: What is 27 plus 40?,Solve the following and respond with only the final answer: What is 27 plus 80?,67
Solve the following and respond with only the final answer: What is 32 plus 48?,Solve the following and respond with only the final answer: What is 32 plus 46?,80
Solve the following and respond with only the final answer: 14+63=,Solve the following and respond with only the final answer: 14+32=,77
Solve the following and respond with only the final answer: 21+93=,Solve the following and respond with only the final answer: 21+43=,114
Solve the following and respond with only the final answer: 68+89=,Solve the following and respond with only the final answer: 68+94=,157
Solve the following and respond with only the final answer: What is 77 plus 49?,Solve the following and respond with only the final answer: What is 77 plus 19?,126
Solve the following and respond with only the final answer: What is 88 plus 79?,Solve the following and respond with only the final answer: What is 88 plus 76?,167
Solve the following and respond with only the final answer: What is 43 plus 40?,Solve the following and respond with only the final answer: What is 43 plus 13?,83
Solve the following and respond with only the final answer: 96+89=,Solve the following and respond with only the final answer: 96+16=,185
Solve the following and respond with only the final answer: 36+93=,Solve the following and respond with only the final answer: 36+66=,129
